Date,Home,Away,Score,Round,Final,Home_Score,Away_Score,Winner
4/16/2021,Houston,San Jose,,Regular Season,FALSE,0,0,N/A
4/16/2021,Seattle,Minnesota,,Regular Season,FALSE,0,0,N/A
4/17/2021,CF Montréal,Toronto FC,,Regular Season,FALSE,0,0,N/A
4/17/2021,Orlando City,Atlanta,,Regular Season,FALSE,0,0,N/A
4/17/2021,Los Angeles FC,Austin FC,,Regular Season,FALSE,0,0,N/A
4/17/2021,FC Dallas,Colorado,,Regular Season,FALSE,0,0,N/A
4/17/2021,NY Red Bulls,Sporting KC,,Regular Season,FALSE,0,0,N/A
4/17/2021,D.C. United,NYCFC,,Regular Season,FALSE,0,0,N/A
4/17/2021,Chicago,New England,,Regular Season,FALSE,0,0,N/A
4/17/2021,Nashville,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
4/18/2021,Miami,LA Galaxy,,Regular Season,FALSE,0,0,N/A
4/18/2021,Columbus,Philadelphia,,Regular Season,FALSE,0,0,N/A
4/18/2021,Vancouver,Portland,,Regular Season,FALSE,0,0,N/A
4/23/2021,Sporting KC,Orlando City,,Regular Season,FALSE,0,0,N/A
4/24/2021,NYCFC,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
4/24/2021,Nashville,CF Montréal,,Regular Season,FALSE,0,0,N/A
4/24/2021,Toronto FC,Vancouver,,Regular Season,FALSE,0,0,N/A
4/24/2021,San Jose,FC Dallas,,Regular Season,FALSE,0,0,N/A
4/24/2021,Los Angeles FC,Seattle,,Regular Season,FALSE,0,0,N/A
4/24/2021,Minnesota,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
4/24/2021,New England,D.C. United,,Regular Season,FALSE,0,0,N/A
4/24/2021,Philadelphia,Miami,,Regular Season,FALSE,0,0,N/A
4/24/2021,Atlanta,Chicago,,Regular Season,FALSE,0,0,N/A
4/24/2021,Colorado,Austin FC,,Regular Season,FALSE,0,0,N/A
4/24/2021,Portland,Houston,,Regular Season,FALSE,0,0,N/A
4/25/2021,LA Galaxy,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
5/1/2021,NY Red Bulls,Chicago,,Regular Season,FALSE,0,0,N/A
5/1/2021,Real Salt Lake,Sporting KC,,Regular Season,FALSE,0,0,N/A
5/1/2021,CF Montréal,Columbus,,Regular Season,FALSE,0,0,N/A
5/1/2021,Houston,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
5/1/2021,New England,Atlanta,,Regular Season,FALSE,0,0,N/A
5/1/2021,Orlando City,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
5/1/2021,Philadelphia,NYCFC,,Regular Season,FALSE,0,0,N/A
5/1/2021,FC Dallas,Portland,,Regular Season,FALSE,0,0,N/A
5/1/2021,Minnesota,Austin FC,,Regular Season,FALSE,0,0,N/A
5/1/2021,San Jose,D.C. United,,Regular Season,FALSE,0,0,N/A
5/2/2021,Nashville,Miami,,Regular Season,FALSE,0,0,N/A
5/2/2021,Seattle,LA Galaxy,,Regular Season,FALSE,0,0,N/A
5/2/2021,Vancouver,Colorado,,Regular Season,FALSE,0,0,N/A
5/7/2021,Real Salt Lake,San Jose,,Regular Season,FALSE,0,0,N/A
5/8/2021,Chicago,Philadelphia,,Regular Season,FALSE,0,0,N/A
5/8/2021,NY Red Bulls,Toronto FC,,Regular Season,FALSE,0,0,N/A
5/8/2021,Nashville,New England,,Regular Season,FALSE,0,0,N/A
5/8/2021,Columbus,D.C. United,,Regular Season,FALSE,0,0,N/A
5/8/2021,Vancouver,CF Montréal,,Regular Season,FALSE,0,0,N/A
5/8/2021,FC Dallas,Houston,,Regular Season,FALSE,0,0,N/A
5/8/2021,Orlando City,NYCFC,,Regular Season,FALSE,0,0,N/A
5/8/2021,LA Galaxy,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
5/8/2021,Colorado,Minnesota,,Regular Season,FALSE,0,0,N/A
5/9/2021,Miami,Atlanta,,Regular Season,FALSE,0,0,N/A
5/9/2021,Portland,Seattle,,Regular Season,FALSE,0,0,N/A
5/9/2021,Sporting KC,Austin FC,,Regular Season,FALSE,0,0,N/A
5/12/2021,Miami,CF Montréal,,Regular Season,FALSE,0,0,N/A
5/12/2021,Toronto FC,Columbus,,Regular Season,FALSE,0,0,N/A
5/12/2021,Philadelphia,New England,,Regular Season,FALSE,0,0,N/A
5/12/2021,Houston,Sporting KC,,Regular Season,FALSE,0,0,N/A
5/12/2021,Minnesota,Vancouver,,Regular Season,FALSE,0,0,N/A
5/12/2021,San Jose,Seattle,,Regular Season,FALSE,0,0,N/A
5/13/2021,D.C. United,Chicago,,Regular Season,FALSE,0,0,N/A
5/15/2021,NYCFC,Toronto FC,,Regular Season,FALSE,0,0,N/A
5/15/2021,LA Galaxy,Austin FC,,Regular Season,FALSE,0,0,N/A
5/15/2021,Atlanta,CF Montréal,,Regular Season,FALSE,0,0,N/A
5/15/2021,Philadelphia,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
5/15/2021,Minnesota,FC Dallas,,Regular Season,FALSE,0,0,N/A
5/15/2021,Colorado,Houston,,Regular Season,FALSE,0,0,N/A
5/15/2021,Real Salt Lake,Nashville,,Regular Season,FALSE,0,0,N/A
5/15/2021,San Jose,Portland,,Regular Season,FALSE,0,0,N/A
